z,n,symbol,half_life
0,1,n,613.9
0,4,n,2.6
1,2,H,12.32
1,4,H,5.3
1,5,H,1.55
1,6,H,0.09
2,3,He,0.648
2,4,He,806.7
2,5,He,150
2,6,He,119.1
2,8,He,300
3,2,Li,1.23
3,5,Li,839.9
3,6,Li,178.3
3,8,Li,8.75
4,2,Be,92
4,3,Be,53.22
4,4,Be,5.57
4,6,Be,1.51E+6
4,7,Be,13.76
4,8,Be,21.46
4,9,Be,2.7E-21
4,10,Be,4.35
4,11,Be,0.58
4,12,Be,0.8
5,2,B,801
5,3,B,770
5,4,B,0.54
5,7,B,20.20
5,8,B,17.33
5,9,B,12.5
5,10,B,9.93
5,11,B,100
5,12,B,5.08
5,14,B,2.92
5,15,B,500
5,16,B,600
6,2,C,130
6,3,C,126.5
6,4,C,19.290
6,5,C,20.364
6,8,C,5700
6,9,C,2.449
6,10,C,0.747
6,11,C,193
6,12,C,92
6,13,C,46.3
6,14,C,16.3
6,16,C,6.1
7,3,N,2.5
7,4,N,830
7,5,N,11.000
7,6,N,9.965
7,9,N,7.13
7,10,N,4.173
7,11,N,619
7,12,N,336
7,13,N,134.4
7,14,N,84
7,15,N,23
7,16,N,14.1
7,17,N,52
8,3,O,1.30
8,4,O,72
8,5,O,8.58
8,6,O,70.606
8,7,O,122.24
8,11,O,26.88
8,12,O,13.51
8,13,O,3.42
8,14,O,2.25
8,15,O,97
8,16,O,72
8,18,O,4.5
9,4,F,1.01
9,5,F,910
9,6,F,660
9,7,F,40
9,8,F,64.49
9,9,F,109.77
9,11,F,11.07
9,12,F,4.158
9,13,F,4.23
9,14,F,2.23
9,15,F,382
9,16,F,80
9,17,F,8.2
9,18,F,5.0
9,19,F,0.046
9,20,F,2.5
10,5,Ne,0.59
10,6,Ne,80
10,7,Ne,109.2
10,8,Ne,1672
10,9,Ne,17.22
10,13,Ne,37.25
10,14,Ne,3.38
10,15,Ne,602
10,16,Ne,197
10,17,Ne,31.5
10,18,Ne,20
10,19,Ne,15
10,20,Ne,7.3
10,21,Ne,3.4
10,22,Ne,3.5
10,23,Ne,180
10,24,Ne,60
11,7,Na,0.2
11,8,Na,40
11,9,Na,447.9
11,10,Na,22.49
11,11,Na,2.6018
11,13,Na,14.956
11,14,Na,59.1
11,15,Na,1.07128
11,16,Na,301
11,17,Na,30.5
11,18,Na,44.1
11,19,Na,48
11,20,Na,17.0
11,21,Na,13.2
11,22,Na,8.0
11,23,Na,5.5
11,24,Na,1.8
11,25,Na,180
11,26,Na,60
12,6,Mg,0.12
12,7,Mg,1.14E-4
12,8,Mg,90.4
12,9,Mg,122
12,10,Mg,3.8755
12,11,Mg,11.3046
12,15,Mg,9.458
12,16,Mg,20.915
12,17,Mg,1.30
12,18,Mg,335
12,19,Mg,270
12,20,Mg,86
12,21,Mg,90.5
12,22,Mg,20
12,23,Mg,11.3
12,24,Mg,7.6
12,25,Mg,8
12,27,Mg,180
13,8,Al,35
13,9,Al,91.1
13,10,Al,446
13,11,Al,2.053
13,12,Al,7.183
13,13,Al,7.17E+5
13,15,Al,2.245
13,16,Al,6.56
13,17,Al,3.62
13,18,Al,644
13,19,Al,33.0
13,20,Al,41.7
13,21,Al,56.3
13,22,Al,38.3
13,23,Al,90
13,24,Al,10.7
13,25,Al,9.0
13,26,Al,7.6
13,27,Al,260
13,29,Al,170
13,30,Al,170
14,8,Si,29
14,9,Si,42.3
14,10,Si,141.3
14,11,Si,220
14,12,Si,2.2453
14,13,Si,4.15
14,17,Si,157.24
14,18,Si,157
14,19,Si,6.11
14,20,Si,2.77
14,21,Si,0.78
14,22,Si,0.45
14,23,Si,90
14,24,Si,63
14,25,Si,47.5
14,26,Si,33.0
14,27,Si,20.0
14,28,Si,12.5
14,29,Si,60
14,30,Si,360
15,10,P,30
15,11,P,43.7
15,12,P,260
15,13,P,270.3
15,14,P,4.142
15,15,P,2.498
15,17,P,14.268
15,18,P,25.35
15,19,P,12.43
15,20,P,47.3
15,21,P,5.6
15,22,P,2.31
15,23,P,0.64
15,24,P,0.28
15,25,P,150
15,26,P,101
15,27,P,48.5
15,28,P,36.5
15,29,P,18.5
15,30,P,200
16,10,S,79
16,11,S,15.5
16,12,S,125
16,13,S,188
16,14,S,1.178
16,15,S,2.5534
16,19,S,87.37
16,21,S,5.05
16,22,S,170.3
16,23,S,11.5
16,24,S,8.8
16,25,S,1.99
16,26,S,1.016
16,27,S,265
16,28,S,100
16,29,S,68
16,30,S,50
17,12,Cl,20
17,13,Cl,30
17,14,Cl,190
17,15,Cl,298
17,16,Cl,2.511
17,17,Cl,1.5266
17,19,Cl,3.013E+5
17,21,Cl,37.230
17,22,Cl,56.2
17,23,Cl,1.35
17,24,Cl,38.4
17,25,Cl,6.8
17,26,Cl,3.13
17,27,Cl,0.56
17,28,Cl,413
17,29,Cl,232
17,30,Cl,101
17,32,Cl,170
18,12,Ar,10
18,13,Ar,15.0
18,14,Ar,98
18,15,Ar,173.0
18,16,Ar,843.8
18,17,Ar,1.7756
18,19,Ar,35.011
18,21,Ar,268
18,23,Ar,109.61
18,24,Ar,32.9
18,25,Ar,5.37
18,26,Ar,11.87
18,27,Ar,21.48
18,28,Ar,8.4
18,29,Ar,1.23
18,30,Ar,416
18,31,Ar,170
18,32,Ar,106
18,35,Ar,620
19,12,K,10
19,14,K,25
19,15,K,25
19,16,K,178
19,17,K,341
19,18,K,1.225
19,19,K,7.651
19,21,K,1.248E+9
19,23,K,12.355
19,24,K,22.3
19,25,K,22.13
19,26,K,17.81
19,27,K,105
19,28,K,17.50
19,29,K,6.8
19,30,K,1.26
19,31,K,472
19,32,K,365
19,33,K,110
19,34,K,30
19,35,K,10
20,14,Ca,35
20,15,Ca,25.7
20,16,Ca,101.2
20,17,Ca,181.1
20,18,Ca,443.76
20,19,Ca,860.3
20,21,Ca,9.94E+4
20,25,Ca,162.61
20,27,Ca,4.536
20,28,Ca,2.9E19
20,29,Ca,8.718
20,30,Ca,13.45
20,31,Ca,10.0
20,32,Ca,4.6
20,33,Ca,461
20,34,Ca,107
20,35,Ca,22
20,36,Ca,11
20,37,Ca,620
20,38,Ca,620
21,18,Sc,300
21,19,Sc,182.3
21,20,Sc,596.3
21,21,Sc,680.79
21,22,Sc,3.891
21,23,Sc,3.97
21,25,Sc,83.79
21,26,Sc,3.3492
21,27,Sc,43.71
21,28,Sc,57.18
21,29,Sc,102.5
21,30,Sc,12.4
21,31,Sc,8.2
21,32,Sc,2.6
21,33,Sc,526
21,34,Sc,96
21,35,Sc,26
21,36,Sc,13
21,37,Sc,12
22,16,Ti,120
22,17,Ti,28.5
22,18,Ti,52.4
22,19,Ti,81.9
22,20,Ti,208.65
22,21,Ti,509
22,22,Ti,59.1
22,23,Ti,184.8
22,29,Ti,5.76
22,30,Ti,1.7
22,31,Ti,32.7
22,32,Ti,2.1
22,33,Ti,1.3
22,34,Ti,200
22,35,Ti,98
22,36,Ti,58
22,37,Ti,28.5
22,38,Ti,22
22,39,Ti,15
22,40,Ti,620
22,41,Ti,360
23,19,V,55
23,20,V,79.3
23,21,V,111
23,22,V,547
23,23,V,422.50
23,24,V,32.6
23,25,V,15.974
23,26,V,330
23,27,V,2.65E+17
23,29,V,3.743
23,30,V,1.543
23,31,V,49.8
23,32,V,6.54
23,33,V,216
23,34,V,0.32
23,35,V,191
23,36,V,97
23,37,V,122
23,38,V,48.3
23,39,V,33.6
23,40,V,17
23,41,V,15
23,42,V,360
23,43,V,360
23,44,V,620
24,18,Cr,13.3
24,19,Cr,21.2
24,20,Cr,42.8
24,21,Cr,60.9
24,22,Cr,0.26
24,23,Cr,500
24,24,Cr,21.56
24,25,Cr,42.3
24,26,Cr,1.3E+18
24,27,Cr,27.704
24,31,Cr,3.497
24,32,Cr,5.94
24,33,Cr,21.1
24,34,Cr,7.0
24,35,Cr,0.74
24,36,Cr,0.49
24,37,Cr,234
24,38,Cr,206
24,39,Cr,129
24,40,Cr,42.9
24,41,Cr,27
24,42,Cr,24
24,44,Cr,360
24,45,Cr,620
24,46,Cr,620
25,19,Mn,105
25,21,Mn,36.2
25,22,Mn,100
25,23,Mn,157.7
25,24,Mn,382
25,25,Mn,283.19
25,26,Mn,46.2
25,27,Mn,5.591
25,28,Mn,3.7E+6
25,29,Mn,312.20
25,31,Mn,2.5789
25,32,Mn,85.4
25,33,Mn,3.0
25,34,Mn,4.59
25,35,Mn,0.28
25,36,Mn,0.709
25,37,Mn,92
25,38,Mn,0.275
25,39,Mn,90
25,40,Mn,92
25,41,Mn,65
25,42,Mn,47
25,43,Mn,28
25,44,Mn,16
25,45,Mn,19.9
25,47,Mn,620
26,19,Fe,1.89
26,20,Fe,13.0
26,21,Fe,21.8
26,22,Fe,45.5
26,23,Fe,64.7
26,24,Fe,152.0
26,25,Fe,305
26,26,Fe,8.275
26,27,Fe,8.51
26,29,Fe,2.744
26,33,Fe,44.490
26,34,Fe,2.62E+6
26,35,Fe,5.98
26,36,Fe,68
26,37,Fe,6.1
26,38,Fe,2.0
26,39,Fe,0.81
26,40,Fe,440
26,41,Fe,0.6
26,42,Fe,188
26,43,Fe,110
26,44,Fe,65
26,45,Fe,35.7
26,46,Fe,150
26,47,Fe,12.9
26,48,Fe,8.2
26,49,Fe,620
27,23,Co,38.8
27,24,Co,68.8
27,25,Co,104
27,26,Co,240
27,27,Co,193.28
27,28,Co,17.53
27,29,Co,77.236
27,30,Co,271.74
27,31,Co,70.86
27,33,Co,1925.28
27,34,Co,1.649
27,35,Co,1.54
27,36,Co,27.4
27,37,Co,0.30
27,38,Co,1.16
27,39,Co,0.20
27,40,Co,0.425
27,41,Co,0.20
27,42,Co,227
27,43,Co,112
27,44,Co,80
27,45,Co,59.9
27,46,Co,40.7
27,47,Co,31.3
27,48,Co,30
27,49,Co,21.7
27,50,Co,13.0
28,20,Ni,2.1
28,21,Ni,7.5
28,22,Ni,18.5
28,23,Ni,23.8
28,24,Ni,40.8
28,25,Ni,55.2
28,26,Ni,114.2
28,27,Ni,203.7
28,28,Ni,6.075
28,29,Ni,35.60
28,31,Ni,7.6E+4
28,35,Ni,101.2
28,37,Ni,2.5175
28,38,Ni,54.6
28,39,Ni,21
28,40,Ni,29
28,41,Ni,11.4
28,42,Ni,6.0
28,43,Ni,2.56
28,44,Ni,1.57
28,45,Ni,0.84
28,46,Ni,507.7
28,47,Ni,344
28,48,Ni,0.238
